source_repository	commit	github_url	destination
Educational-Practice	3cc16801dab2b20a9eb87b72feaea821d7a6d846	https://github.com/Laudarisd/Educational-Practice	projects/educational-practice
Python-Book	8e6aa72b0b49bc80bf7fe6ff0ebedc6e2a191b9a	https://github.com/Laudarisd/Python-Book	projects/python-learning
leetcode	90fdd53cf6c83cee8c5397dfefefa1a9b78bc1a8	https://github.com/Laudarisd/leetcode	projects/algorithms-and-leetcode
PyTorch_Tutorials	5914eda40227bb5ed3bf2626d7d3395b286df198	https://github.com/Laudarisd/PyTorch_Tutorials	projects/pytorch-tutorials
ConnecXia	9041a046743e658bcba5f6c8509e2bfde9f60232	https://github.com/Laudarisd/ConnecXia	projects/connectxia
YTubeSaver	5e4afc8fd76c281373d959c19214e3fda5a6190a	https://github.com/Laudarisd/YTubeSaver	projects/youtube-saver
Web-Development	d48be819555ca4f8d9bfe12c480a6369c110cb3e	https://github.com/Laudarisd/Web-Development	projects/web-development
